Name,Description
Corporate policies and commitments,AI governance pledges and policy documents from leading companies.
"U.S. regulations, executive orders, and agency policies",U.S. federal regulations and other AI-related documents from the executive branch.
FY2022 NDAA,AI-related provisions from the National Defense Authorization Act for fiscal year 2022.
U.S. federal laws,"AI-related federal laws, both proposed and enacted."
NDAA provisions,AI-related provisions from recent National Defense Authorization Acts.
Multinational,Notable AI governance documents from multinational organizations and venues.
FY2021 NDAA,AI-related provisions from the National Defense Authorization Act for fiscal year 2021.
Editors' Picks,Notable AI governance documents from the U.S. and around the world. Selected by ETO and CSET researchers.
FY2023 NDAA,AI-related provisions from the National Defense Authorization Act for fiscal year 2023.
FY2024 NDAA,AI-related provisions from the National Defense Authorization Act for fiscal year 2024.
U.S. state and local documents,AI-related laws from U.S. states and localities (not comprehensive).
FY2025 NDAA,AI-related provisions from the National Defense Authorization Act for fiscal year 2025.
Chinese law and policy,"AI-related laws, policies, and plans from China."
FY2026 NDAA,AI-related provisions from the National Defense Authorization Act for fiscal year 2026.
Miscellaneous documents,Documents not covered in other collections.
