AGORA ID,Official name,Casual name,Link to document,Authority,Collections,Most recent activity,Most recent activity date,Proposed date,Annotated?,Validated?,Primarily applies to the government,Primarily applies to the private sector,Short summary,Long summary,Tags,Summaries and tags may include unreviewed machine output,Official plaintext retrieved,Official plaintext source,Official plaintext unavailable/infeasible,Official pdf source,Official pdf retrieved,Number of segments created,Applications: Agriculture and resource extraction,"Applications: Arts, sports, leisure, travel, and lifestyle",Applications: Broadcasting and media production,Applications: Business services and analytics,Applications: Construction and field services,Applications: Consumer goods,Applications: Education,Applications: Energy and utilities,Applications: Finance and investment,Applications: Government: benefits and welfare,Applications: Government: judicial and law enforcement,Applications: Government: military and public safety,Applications: Government: other applications/unspecified,Applications: Manufacturing and process automation,"Applications: Medicine, life sciences and public health",Applications: Networking and telecommunications,"Applications: Sales, retail, and customer relations",Applications: Security,Applications: Transportation,Harms: Detrimental content,Harms: Discrimination,Harms: Ecological harm,Harms: Financial loss,Harms: Harm to health/safety,Harms: Harm to infrastructure,Harms: Harm to property,"Harms: Violation of civil or human rights, including privacy",Incentives: Access to business opportunities,Incentives: Civil liability,Incentives: Criminal liability,Incentives: Fines,Incentives: Imprisonment,Incentives: Subsidies,Risk factors: Bias,Risk factors: Interpretability and explainability,Risk factors: Privacy,Risk factors: Reliability,Risk factors: Reliability: Robustness,Risk factors: Safety,Risk factors: Security,Risk factors: Security: Cybersecurity,Risk factors: Security: Dissemination,Risk factors: Transparency,Strategies: Convening,Strategies: Disclosure,Strategies: Disclosure: About evaluation,Strategies: Disclosure: About incidents,Strategies: Disclosure: About inputs,Strategies: Disclosure: Accuracy thereof,Strategies: Disclosure: In deployment,Strategies: Disclosure: In standard form,Strategies: Evaluation,Strategies: Evaluation: Adversarial testing,Strategies: Evaluation: Conformity assessment,Strategies: Evaluation: External auditing,Strategies: Evaluation: Impact assessment,Strategies: Evaluation: Post-market monitoring,Strategies: Governance development,Strategies: Government study or report,Strategies: Government support,Strategies: Government support: AI workforce-related,Strategies: Government support: For R&D,Strategies: Input controls,Strategies: Input controls: Compute circulation,Strategies: Input controls: Compute use,Strategies: Input controls: Data circulation,Strategies: Input controls: Data use,"Strategies: Licensing, registration, and certification",Strategies: New institution,Strategies: Performance requirements,Strategies: Pilots and testbeds,Strategies: Tiering,Strategies: Tiering: Tiering based on domain of application,Strategies: Tiering: Tiering based on generality,Strategies: Tiering: Tiering based on impact,Strategies: Tiering: Tiering based on inputs,Strategies: Tiering: Tiering based on planning ability
1921,AI Act of 2024,AI Act of 2024 ,https://www.congress.gov/bill/118th-congress/house-bill/10262/text,United States Congress,U.S. federal laws,Defunct,2025-01-03,2024-11-26,true,false,true,false,"Require financial regulators and the Treasury to study and publicly report on the benefits, risks, and regulatory impacts of AI use in banking, finance and housing markets, and to provide recommendations for responsible AI adoption, informed by public input. ","Mandates financial regulators to submit and publicly publish reports within 180 days assessing the benefits and risks of AI in their sectors.

Requires banking regulators to examine AI's role in banking operations, fraud detection, cybersecurity, and fair lending practices, with a focus on smaller and community financial institutions.

Directs the Securities and Exchange Commission to explore AI's use in market research, portfolio management, and fraud detection in securities markets, and assess regulatory gaps and staffing challenges related to AI expertise.

Instructs housing and mortgage regulators to evaluate AI's impact on mortgage efficiency, credit decisions, and real estate practices, with particular focus on the impacts for underserved communities.

Requests the Treasury Department to report on AI's application supporting compliance with the Bank Secrecy Act and sanctions laws, strengthening cybersecurity defenses, and protecting the financial system from national security threats

Mandates the inclusion of legislative recommendations in each report to promote responsible adoption of AI across these sectors, and requires public consultation to gather input for the drafting of reports. ",Strategies: Government study or report;Applications: Finance and investment;Harms: Discrimination;Strategies: Disclosure;Strategies: Government study or report;Strategies: Governance development;Applications: Finance and investment;Strategies: Government study or report;Strategies: Government study or report;Applications: Finance and investment;Strategies: Disclosure;Strategies: Government study or report;Strategies: Governance development;Applications: Finance and investment;Strategies: Government study or report;Strategies: Disclosure;Harms: Discrimination;Applications: Finance and investment;Strategies: Government study or report;Strategies: Disclosure;Strategies: Governance development;Applications: Finance and investment;Applications: Finance and investment;Strategies: Government study or report;Strategies: Disclosure;Strategies: Governance development;Strategies: Government study or report,false,2025-02-06,https://www.congress.gov/bill/118th-congress/house-bill/10262/text,false,,,11,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2707,"National Defense Authorization Act for Fiscal Year 2026, Section 3117 (""Appropriate scoping of artificial intelligence research within the National Nuclear Security Administration"")","FY2026 NDAA, Section 3117 (""Appropriate scoping of artificial intelligence research within the National Nuclear Security Administration"")",https://www.congress.gov/bill/119th-congress/senate-bill/1071/text,United States Congress,NDAA provisions;U.S. federal laws;FY2026 NDAA,Enacted,2025-12-18,2025-03-14,true,false,true,false,"Restricts AI research and development funds within the National Nuclear Security Administration to supporting nuclear security missions. Allows AI R&D in other Department of Energy components or federal agencies, provided it doesn't interfere with nuclear security functions.","Limits the use of funds appropriated for artificial intelligence research and development within the National Nuclear Security Administration (NNSA) to support only its nuclear security missions.

Allows for the establishment of national security AI research and development programs in other components of the Department of Energy or other federal agencies without restriction from this limitation.

Permits the NNSA to use its resources to support national security AI research and development programs outside of the Department of Energy, provided support is given on a full cost recovery basis and does not interfere with its nuclear security mission.",Strategies: Government support;Strategies: Government support: For R&D;Applications: Government: military and public safety,false,2026-01-13,https://www.congress.gov/bill/119th-congress/senate-bill/1071/text,false,,,4,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2705,"National Defense Authorization Act for Fiscal Year 2026, Section 1019 (""Strategy for navy investment in and support for the maritime industrial base"")","FY2026 NDAA, Section 1019 (""Strategy for navy investment in and support for the maritime industrial base"")",https://www.congress.gov/bill/119th-congress/senate-bill/1071/text,United States Congress,NDAA provisions;U.S. federal laws;FY2026 NDAA,Enacted,2025-12-18,2025-03-14,true,false,true,false,"Requires the Secretary of the Navy to develop a strategy using artificial intelligence to monitor and predict supply chain challenges in shipbuilding. Instructs AI application for disruptions, shortages, and delays. Demands a report on the strategy to Congress.","Require the Secretary of the Navy to develop and implement a strategy for investing in and supporting the maritime industrial base to address shipbuilding challenges.

Instruct the strategy to apply artificial intelligence to monitor and predict potential supply chain challenges, including disruptions, shortages, and delays.

Focus the strategy on ensuring reliable supplies of critical components for submarine and surface shipbuilding programs.

Include in the strategy measures to identify key performance indicators and centralize data collection for performance analysis.

Demand submission of a report to congressional defense committees within 210 days, summarizing the strategy, implementation timelines, and expected outcomes for addressing cost and schedule challenges.",Strategies: Government support;Applications: Business services and analytics;Strategies: Government study or report,false,2026-01-13,https://www.congress.gov/bill/119th-congress/senate-bill/1071/text,false,,,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2700,"National Defense Authorization Act for Fiscal Year 2026, Section 152 (""Requirements for an intelligence, surveillance, and reconnaissance roadmap for the Air Force"")","FY2026 NDAA, Section 152 (""Requirements for an intelligence, surveillance, and reconnaissance roadmap for the Air Force"")",https://www.congress.gov/bill/119th-congress/senate-bill/1071/text,United States Congress,NDAA provisions;U.S. federal laws;FY2026 NDAA,Enacted,2025-12-18,2025-03-14,false,false,false,false,"Require the Secretary of the Air Force to submit a roadmap by October 1, 2026, detailing AI, machine learning, and other ISR technology investments. Include strategic assessment, capability inventory, modernization plans, data integration assessment, and implementation timeline.","Require the Secretary of the Air Force to submit a comprehensive roadmap for ISR capabilities by October 1, 2026.

Include in the roadmap a strategic assessment of current and projected ISR requirements across air, space, and cyberspace.

List current ISR platforms, sensors, and data-processing systems, detailing their status and expected service life.

Plan for modernizing or divesting legacy airborne ISR systems with specific justification for each.

Outline planned investments in emerging ISR technologies, highlighting artificial intelligence, machine learning, space-based ISR, and autonomous platforms.

Assess the integration of ISR data into command and control networks, ensuring interoperability with partners.

Perform a risk assessment identifying potential capability gaps, threats, and mitigation strategies.

Define roles and responsibilities for components of the Air Force ISR efforts in executing the roadmap.

Propose a timeline and milestones for roadmap implementation over the next ten fiscal years.",,true,2026-01-13,https://www.congress.gov/bill/119th-congress/senate-bill/1071/text,false,,,4,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2727,Executive Order on Promoting the Export of the American AI Technology Stack,Executive Order on Promoting the Export of the American AI Technology Stack,https://www.whitehouse.gov/presidential-actions/2025/07/promoting-the-export-of-the-american-ai-technology-stack/,Executive Office of the President,"Editors' Picks;U.S. regulations, executive orders, and agency policies",Enacted,2025-07-23,,false,false,false,false,"Establishes the American AI Exports Program to support the deployment of U.S. AI technologies. Requires the Secretary of Commerce, in consultation with other officials, to evaluate proposals. Mobilizes federal financing tools to promote American AI exports globally.","Establishes the American AI Exports Program to promote the development and deployment of U.S. full-stack AI export packages.

Instructs the Secretary of Commerce, in consultation with other officials, to implement this program.

Requires proposals to include AI hardware, models, and applications, identify target export countries, outline business models, and comply with U.S. export regulations.

Directs the Economic Diplomacy Action Group to coordinate federal financing tools to support AI export efforts.

Appoints the Secretary of State to develop strategies for promoting U.S. AI technologies and align federal resources to support priority AI exports.

Mandates coordination with partner countries to foster supportive regulatory environments.

Utilizes federal financing measures such as loans, insurance, and technical assistance to support selected AI export packages.

Ensures compliance with applicable laws and appropriations.",,true,2026-02-04,https://www.whitehouse.gov/presidential-actions/2025/07/promoting-the-export-of-the-american-ai-technology-stack/,false,,,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2733,Artificial Intelligence Civil Rights Act of 2025,Artificial Intelligence Civil Rights Act of 2025,https://www.congress.gov/bill/119th-congress/house-bill/6356/text,United States Congress,U.S. federal laws,Proposed,2025-12-02,2025-12-02,false,false,false,false,"Regulates developers and deployers of AI algorithms to prevent discrimination and disparate impacts, requiring pre-deployment evaluations and annual assessments. Authorizes the FTC and states to enforce compliance, and creates a private right of action. Establishes transparency and consumer rights.","Establishes the ""Artificial Intelligence Civil Rights Act of 2025"" to protect individual rights concerning computational algorithms.

Prohibits developers and deployers from using covered algorithms that cause discrimination or disparate impacts based on protected characteristics in consequential actions such as employment, credit, and housing.

Requires developers and deployers to conduct pre-deployment evaluations and annual impact assessments with independent audits to identify potential harms or biases from AI systems.

Mandates transparent disclosures, including audits and impact assessments, by developers and deployers, and requires mechanisms for individuals to report violations and seek redress.

Empowers the Federal Trade Commission (FTC) and states to enforce the Act, providing penalties and permitting civil actions by affected individuals.

Directs the FTC to study and implement regulations on providing explanations for algorithmic decisions and options for human alternatives.

Allocates resources, including new personnel and funding, for federal implementation and oversight.",,true,2026-02-06,https://www.congress.gov/bill/119th-congress/house-bill/6356/text/ih?format=txt,false,,,61,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2730,Artificial Intelligence Risk Evaluation Act of 2025,Artificial Intelligence Risk Evaluation Act of 2025,https://www.congress.gov/bill/119th-congress/senate-bill/2938/text,United States Congress,U.S. federal laws,Proposed,2025-09-29,2025-09-29,false,false,false,false,"Requires the Secretary of Energy to establish the Advanced Artificial Intelligence Evaluation Program within 90 days. Obligates developers to provide necessary materials for program participation. Prohibits AI deployment without compliance. Imposes $1,000,000 daily penalties for violations.","Requires the Secretary of Energy to establish the Advanced Artificial Intelligence Evaluation Program to evaluate advanced AI systems using standardized testing protocols. 

Mandates participation from developers of advanced AI systems in the program and prohibits the deployment of such systems without program compliance, enforcing penalties for violations.

Defines key terms, including ""advanced artificial intelligence system"" and ""adverse AI incident,"" to clarify program scope.

Instructs the program to perform classified testing, assess risks, develop containment protocols, and propose regulatory options for AI oversight.

Obligates the Secretary to submit a comprehensive report to Congress with recommendations for Federal oversight and regulatory structures based on empirical data from the program.

Requires annual updates on program findings and insights to be submitted to Congress for the program's duration.

Sets a program termination date 7 years post-enactment unless Congress renews it.",,true,2026-02-04,https://www.congress.gov/bill/119th-congress/senate-bill/2938/text/is?format=txt,false,,,9,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2728,Executive Order on Accelerating Federal Permitting of Data Center Infrastructure,Executive Order on Accelerating Federal Permitting of Data Center Infrastructure,https://www.whitehouse.gov/presidential-actions/2025/07/accelerating-federal-permitting-of-data-center-infrastructure/,Executive Office of the President,"Editors' Picks;U.S. regulations, executive orders, and agency policies",Enacted,2025-07-23,,false,false,false,false,"Facilitates AI infrastructure development by easing federal regulations, utilizing federal lands for data centers, and providing financial support for AI projects. Directs various agencies to expedite environmental reviews, permitting, and financial assistance for AI-related projects.
","Prioritizes the rapid development of AI data centers by easing federal regulatory burdens and using federally owned resources.

Defines “Data Center Project” as facilities requiring more than 100 MW of AI-related load.

Instructs the Secretary of Commerce to support “Qualifying Projects” with financial incentives, including loans and grants.

Revokes Executive Order 14141, which previously advanced AI infrastructure leadership.

Requires agencies to facilitate efficient environmental reviews by identifying categorical exclusions under NEPA for Qualifying Projects.

Allows the Executive Director of the FPISC to designate and expedite Qualifying Projects on the Permitting Dashboard for transparency.

Directs the EPA Administrator to expedite permitting on applicable lands and identify suitable Brownfield and Superfund Sites for these projects.

Instructs federal departments to offer land authorizations for infrastructural needs related to AI projects.

Emphasizes the use of programmatic consultation under the Endangered Species Act for long-term planning of construction activities.

Clarifies order implementation terms and legal boundaries.",,true,2026-02-04,https://www.whitehouse.gov/presidential-actions/2025/07/accelerating-federal-permitting-of-data-center-infrastructure/,false,,,10,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2732,SB-243 Companion chatbots,California SB-243 (Companion chatbots),https://leginfo.legislature.ca.gov/faces/billNavClient.xhtml?bill_id=202520260SB243&utm_source=substack&utm_medium=email,California,U.S. state and local documents,Enacted,2025-10-13,2025-01-30,false,false,false,false,"Defines ""companion chatbot"" and requires operators to notify users when they interact with AI. Requires protocols to prevent the production of harmful content. Mandates annual reports on crisis notifications. Offers civil remedies for violations. Ensures suitability disclosures for minors.","Adds Chapter 22.6 to the Business and Professions Code to regulate companion chatbots in California.

Defines ""companion chatbot"" as an AI system capable of sustaining adaptive, human-like interactions.

Requires operators to disclose when users interact with AI and notify users that chatbots are artificial.

Mandates protocols to prevent companion chatbots from encouraging suicide or self-harm and requires crisis referrals if necessary.

Obligates operators to report annually to the Office of Suicide Prevention regarding these protocols and their implementation outcomes.

Demands extra precautions for minors, including disclosures every three hours and measures against producing or suggesting sexually explicit content.

Allows individuals harmed by violations to seek injunctive relief and monetary damages.

Establishes that provisions in this chapter do not negate other legal duties or remedies.

Specifies the act's provisions are severable to maintain enforceability despite potential invalidities.",,true,2026-02-06,https://leginfo.legislature.ca.gov/faces/billTextClient.xhtml?bill_id=202520260SB243,false,,,6,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
483,Supply Chain Mapping and Monitoring Act,Supply Chain Mapping and Monitoring Act,https://www.congress.gov/bill/118th-congress/house-bill/796,United States Congress,U.S. federal laws,Defunct,2025-01-03,2023-02-02,false,false,false,false,"Establishes the Supply Chain Resiliency and Crisis Response Office to monitor and enhance supply chain resilience. Includes AI, machine learning, and robotics as key technology areas. Coordinates with international partners and private sectors to identify vulnerabilities and ensure critical industry sustainability.","Establishes the Supply Chain Resiliency and Crisis Response Office within 180 days to monitor and enhance supply chain resilience, especially for critical industries and goods.

Mandates the Under Secretary to map, monitor, and model supply chains, identifying gaps and vulnerabilities.

Requires collaboration with federal agencies, private sector, labor organizations, and international partners to strengthen supply chains and prepare for shocks.

Involves continuous monitoring of supply chain resilience, diversity, and security, and mandates quadrennial reports on supply chain resiliency and domestic manufacturing.

Authorizes $500 million for fiscal years 2024-2028 to fund these activities, ensuring up to 2% per fiscal year for administrative costs.",,true,2024-05-23,https://www.congress.gov/bill/118th-congress/house-bill/796/text,false,,,12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
